contentId	song	title	artist.0	artist.1	rank	viewCounter	commentCounter	mylistCounter	likeCounter	userId	tags.0	tags.1	tags.2	tags.3	tags.4	tags.5	tags.6	tags.7	tags.8	tags.9	tags.10	startTime	thumbnailUrl	lengthSeconds	sub_artist.0
sm32566384	anywhere door	anywhere door / 初音ミク【MV】	No.85		非公開	67460	486	1124		32343291	VOCALOID	anywhere_door	No.85	ぱたぱた	1610	ま子	悠	もっと評価されるべき	VOCALOID処女作	初音ミク	ミクオリジナル曲	2018-01-12T21:03:00+09:00		228	
sm36969360	夜雨乞い	夜雨乞い / 翠蓮 feat.結月ゆかり【オリジナル】	翠蓮			66945	63	59		87379048	VOCALOID	vocaloid新曲リンク	vocaloidオリジナル曲	結月ゆかり	結月ゆかりオリジナル曲	オリジナル曲	期待の新人	もっと評価されるべき	もっと伸びるべき	もっともっと評価されるべき	翠蓮	2020-06-03T01:29:02+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/36969360/36969360.90011473	362	
sm26676702	コペルニクス	「コペルニクス」 オリジナル曲 Vo.初音ミク	doriko		非公開	177879	1274	2930		655340	VOCALOID	初音ミク	ミクオリジナル曲	ちほP	VOCALOID宇宙派	DAM&JOY配信中	コペルニクス(doriko)	初音ミク名曲リンク	VOCALOID殿堂入り	doriko(きりたんP)		2015-07-12T18:00:00+09:00		239	
sm29378902	私とジュリエット	「私とジュリエット」 オリジナル曲 Vo.初音ミク	doriko		非公開	243645	1727	4608		655340	VOCALOID	初音ミク	ミクオリジナル曲	nezuki	ティッシュ姫	私とジュリエット	VOCAROCK	VOCALOID殿堂入り	アンサーソング	doriko(きりたんP)	VOCALOIDシンデレラ曲	2016-08-04T20:00:00+09:00		215	
sm41439327	部屋に照らされた光	部屋に照らされた光 / 可不	にほしか		非公開	74028	372	755		121238028	可不	可不オリジナル曲	VOCALOID	CeVIO_AI	VOCALOIDネタ曲リンク	にほしか	部屋に照らされた光	笑撃のラスト	壮大に何も始まらない	光差すP	おれらのうた	2022-11-29T16:54:03+09:00		92	
sm37159162	Lilisu	Lilisu／flower	村上蔵馬		非公開	19377	63	240		89506520	VOCALOID	音楽	ニコニコインディーズ	ボカロ	flower	VOCALOIDオリジナル曲	もっと評価されるべき	オルタナティブミック	村上蔵馬	Lilisu	VOCALOID実写PV	2020-07-08T20:13:02+09:00		247	
sm39472906	毒断情	毒断情 ／ かぁくん feat. 初音ミク	かぁくん		削除済	136186	1465	1103		59562674	ボカコレ2021秋TOP100	ボカコレ2021秋ルーキー	VOCALOIDオリジナル曲	VOCALOID	初音ミク	ミクオリジナル曲	かぁくん	VOCAROCK	VOCALOID和風曲	神調教	VOCALOID殿堂入り	2021-10-14T00:00:00+09:00		244	
sm29905804	君と僕のサンクチュアリィ	【初音ミク】君と僕のサンクチュアリィ【オリジナル】	オカメP		削除済	23166	223	361		4082746	初音ミク	ミクオリジナル曲	オカメP	Ruuya	VOCAROCK	VOCALOID	オシャレなオカメP	君と僕のサンクチュアリィ				2016-10-25T19:19:00+09:00		252	
sm34373465	Love生き続けるエナジー	Ｌｏｖｅ生き続けるエナジー [ビデオ]	やながみゆき		非公開	20482	113	291		20970403	VOCALOID	初音ミク	ミクオリジナル曲	80's	Vaporwave	カセットテープでくれ	心ひとつあれば	初音ミク名曲リンク				2018-12-25T19:00:00+09:00		372	
sm32276225	ココロノカタチ	【夢眠ネム】ココロノカタチ【オリジナル】	Aire		非公開	7319	115	122		25576267	VOCALOID	Aire	夢眠ネム(VOCALOID)	オリジナル曲	ネムオリジナル曲	VOCALOID処女作	ミクノポップ	y2	O2i3	ココロノカタチ		2017-11-16T11:16:06+09:00		156	
sm41666484	気まぐれアフェクション	気まぐれアフェクション / syare ft.初音ミク	syare		削除済	3041	60	80		116733552	VOCALOID	初音ミクオリジナル曲	ボカロオリジナル曲	かわいいミクうた	ミクノポップ	ラーメンタイマー	VOCALOIDオリジナル曲	VOCALOID新曲リンク	驚異的な中毒性	初音ミク		2023-01-18T04:18:02+09:00		180	
sm35742878	Cheering Swing!	【Electro Swing】Cheering Swing!【歌うボイスロイド】	わかばマークおじさん			171979	281	2273	1160	7636484	音楽	琴葉姉妹	琴葉茜	琴葉葵	歌うボイスロイド	VOICEROID	茜・葵オリジナル曲	Cheering_Swing!	VOICEROID殿堂入り	琴葉茜・葵	わかばマークおじさん	2019-09-28T18:33:02+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/35742878/35742878.29706436	207	
sm33447908	Moon!!	月ノ美兎イメージソング 「Moon!!」 Full Ver.	iru			189457	2124	3093		364144	音楽	月ノ美兎	にじさんじ	にじさんじオリジナルソングリンク	Moon!!(月ノ美兎)	バーチャルYouTuber	iru	本人歌唱済み	バーチャルYouTuber音楽リンク	重音テト	UTAU殿堂入り	2018-06-30T19:42:02+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/33447908/33447908	254	
sm42575199	百葉箱	百葉箱 / 初音ミク	はこ		非公開	194431	2561	2802		128497266	VOCALOID	初音ミク	ミクオリジナル曲	ボカコレ2023夏ルーキー参加曲	VOCALOID視覚芸術展	VOCALOID殿堂入り	ミクトロニカ	百葉箱（はこ）	合成音声のゆくえAlter	ボカロP自作アニメーションMVリンク	かわいいミクうた	2023-08-04T20:05:00+09:00		271	
sm34783861	GO TO HELL!	GO TO HELL! - miku & rin	ゐろは苹果		非公開	52215	150	366		84374835	VOCALOID	VOCALOIDオリジナル曲	ミクオリジナル曲	リンオリジナル曲	VOCAROCK	ミク×リンリンク	ゐろは苹果	マイリス巡回推奨	歌ってみろ	GO_TO_HELL!	ダークなぼかうた	2019-03-16T19:00:00+09:00		220	
sm20385694	櫻-Sakura-	【初音ミク】 櫻-Sakura- 【オリジナル】	龍		非公開	38681	620	1510		10856662	VOCALOID	初音ミク	ミクオリジナル曲	VOCAROCK	VOCALOID和風曲	櫻-Sakura-	VOCALOID桜曲	-K-	ツクモ	もっと評価されるべき	宇獅和歌	2013-03-20T18:00:00+09:00		234	
sm36015175	音沙汰	【OИE】音沙汰	IZ		削除済	51258	221	516		12142854	VOCALOID	CeVIO	CeVIOオリジナル曲	ONEオリジナル曲	音楽	ONE_-ARIA_ON_THE_PLANETES-	Iz	もっと評価されるべき	音沙汰	さらに評価されるべき		2019-11-28T21:00:00+09:00		260	
sm36271857	Penguin's Detour	Penguin's Detour / 初音ミク	林田匠		非公開	114693	970	2623		59335538	VOCALOID	初音ミク	VOCALOIDオリジナル曲	ミクオリジナル曲	ハヤシダ	Penguin's_Detour	お洒落なミクうた	クールなミクうた	もっと評価されるべき	黙ってマイリス	VOCALOID殿堂入り	2020-01-25T23:00:00+09:00		217	
sm42603880	東京舞踊	東京舞踊 / 初音ミク	KyoTa			1458	3	2		122843852	VOCALOID	初音ミク	音楽	プロセカNEXT	プロセカnext応募楽曲	vocaloidオリジナル曲						2023-08-10T19:00:00+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/42603880/42603880.78242869	197	
sm37947195	きみよみ	◈*_きみよみ	◈*ゆくえわっと																						
